-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------

-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT 

-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas 

-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao 

-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) 

-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 

A captured Urraco.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um urraco que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un corvus capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Jarama.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um jaramus que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un jaramus capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Espada.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um estradus que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un estradus capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Divain.\r\nIt can be sold at a high price\r\nand is best used for Basque flavoring.|----|Um divain que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com molho verde.|----|Un divain capturado.\r\nPuedes venderlo a muy buen precio\r\no servirlo con salsa verde.

A captured Flauros.\r\nIt can be sold at a high price\r\nand is best used for Languedoc flavoring.|----|Um flauros que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com molho de tomate.|----|Un flauros capturado.\r\nPuedes venderlo a muy buen precio\r\no servirlo con salsa de tomate.

A captured Vánargand.\r\nIt can be sold at a high price\r\nand is best used for Alsace flavoring.|----|Um vanargand que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com molho rosê.|----|Un vánargand capturado.\r\nPuedes venderlo a muy buen precio\r\no servirlo con salsa rosa.

(REPETIDO)A captured Divain.\r\nIt can be sold at a high price\r\nand is best used for Basque flavoring.|----|Um divain que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com molho verde.|----|Un divain capturado.\r\nPuedes venderlo a muy buen precio\r\no servirlo con salsa verde.

A captured Greater Flauros.\r\nIt can be sold at a high price\r\nand is best used for Loire flavoring.|----|Um flauros gigante que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com molho acredoce.|----|Un gran flauros capturado.\r\nPuedes venderlo a muy buen precio\r\no servirlo con salsa agridulce.

(REPETIDO)A captured Vánargand.\r\nIt can be sold at a high price\r\nand is best used for Alsace flavoring.|----|Um vanargand que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com molho rosê.|----|Un vánargand capturado.\r\nPuedes venderlo a muy buen precio\r\no servirlo con salsa rosa.

A captured Fatal Fang.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um presa mortal capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un colmillo mortal capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Skoll.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um skoll que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un skoll capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Swiftmane.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um crina veloz capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un crinveloz capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Sharpclaw.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um garra afiada capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un garrador capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Ophois.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um ophois que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un ophois capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Bloodhorn.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um chifre de sangue que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un cuernorrojo capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Spiritbeast Ki.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um espírito animal Ki que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un espíritu animal Ki capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Spiritbeast Rin.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um espírito animal rin que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un espíritu animal Rin capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Chimera.\r\nIt can be sold at a high price\r\nand is best used for spitchcock.|----|Uma quimera que foi capturada.\r\nPode ser vendida por um bom preço\r\nou então preparada com grelhados.|----|Una quimera capturada.\r\nPuedes venderla a muy buen precio\r\ny está deliciosa asada a la parrilla.

A captured Misericorde.\r\nIt can be sold at a high price\r\nand is best used for pottage.|----|Uma impiedosa que foi que foi capturada.\r\nPode ser vendida por um bom preço\r\nou então preparada com guisados.|----|Un inmisericorde capturado.\r\nPuedes venderlo a muy buen precio\r\ny va fenomenal con el potaje.

A captured Rockgrater.\r\nIt can be sold at a high price\r\nand is best used for Rockgrater pot pie.|----|Um rebentarocha que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com torta de panela de Rebentarocha.|----|Un revientarrocas capturado.\r\nPuedes venderlo a muy buen precio\r\no usarlo para preparar empanadas.

A captured King Chimera.\r\nIt can be sold at a high price\r\nand is best used for soup.|----|Uma quimera soberana que foi que foi capturada.\r\nPode ser vendida por um bom preço\r\nou então preparada com sopa de verduras.|----|Un rey quimera capturado.\r\nPuedes venderlo a muy buen precio\r\no echarlo en la sopa de verduras.

(REPETIDO)A captured Misericorde.\r\nIt can be sold at a high price\r\nand is best used for pottage.|----|Uma impiedosa que foi que foi capturada.\r\nPode ser vendida por um bom preço\r\nou então preparada com guisados.|----|Un inmisericorde capturado.\r\nPuedes venderlo a muy buen precio\r\ny va fenomenal con el potaje.

A captured Grand Rockgrater.\r\nIt can be sold at a high price\r\nand is best used for Rockgrater roast.|----|Um rebentarocha gigante que foi capturado.\r\nPode ser vendido por um bom preço\r\ne fica muito bem assado ao forno.|----|Un revientamontes capturado.\r\nPuedes venderlo a muy buen precio\r\ny está delicioso asado al horno.

A captured Ground Cobra.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Uma cobra da terra que foi que foi capturada.\r\nPode ser vendida por um bom preço\r\ne seu sabor é indescritível.|----|Una cobra negra capturada.\r\nPuedes venderla a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Notsuchi.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um notsuchi que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un notsuchi capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Deathpuppet.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um marionete mortal que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Una marioneta capturada.\r\nPuedes venderla a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Hellbiter.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Uma picada infernal que foi capturada.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un picainfiernos capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Obstructor.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um obstructor que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un obstructor capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Antares.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um antares que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un antares capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Echidna.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um equidna que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un equidna capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Rapunzel.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um rapunzel que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un rapunzel capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Hydra.\r\nIt can be sold at a high price\r\nand is best used for stir fried dishes.|----|Uma hidra que foi que foi capturada.\r\nPode ser vendida por um bom preço\r\nou então preparada com verduras refogadas.|----|Una hidra capturada.\r\nPuedes venderla a muy buen precio\r\no rehogarla con unas verduritas.

A captured Torpedo.\r\nIt can be sold at a high price\r\nand is best used for deep fried dishes.|----|Um torpedo que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com frituras.|----|Un proyectil capturado.\r\nPuedes venderlo a muy buen precio\r\no freírlo en aceite de oliva.

A captured Bune.\r\nIt can be sold at a high price\r\nand is best used for lightly cooked dishes.|----|Um bune que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com cozidos.|----|Un bune capturado.\r\nPuedes venderlo a muy buen precio\r\no comértelo con ajo y cebolla.

(REPETIDO)A captured Hydra.\r\nIt can be sold at a high price\r\nand is best used for stir fried dishes.|----|Uma hidra que foi que foi capturada.\r\nPode ser vendida por um bom preço\r\nou então preparada com verduras refogadas.|----|Una hidra capturada.\r\nPuedes venderla a muy buen precio\r\no rehogarla con unas verduritas.

(REPETIDO)A captured Torpedo.\r\nIt can be sold at a high price\r\nand is best used for deep fried dishes.|----|Um torpedo que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com frituras.|----|Un proyectil capturado.\r\nPuedes venderlo a muy buen precio\r\no freírlo en aceite de oliva.

(REPETIDO)A captured Bune.\r\nIt can be sold at a high price\r\nand is best used for lightly cooked dishes.|----|Um bune que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com cozidos.|----|Un bune capturado.\r\nPuedes venderlo a muy buen precio\r\no comértelo con ajo y cebolla.

A captured Bluejaws.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um garras azuis que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un cianofauces capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Siren.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Uma sereia que foi que foi capturada.\r\nPode ser vendida por um bom preço\r\ne seu sabor é indescritível.|----|Una sirena capturada.\r\nPuedes venderla a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Orca.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Uma orca que foi capturada.\r\nPode ser vendida por um bom preço\r\ne seu sabor é indescritível.|----|Una orca capturada.\r\nPuedes venderla a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Boina.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um boine que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un boine capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Starfish.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Uma estrela do mar que foi capturada.\r\nPode ser vendida por um bom preço\r\ne seu sabor é indescritível.|----|Una estrella de mar capturada.\r\nPuedes venderla a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Medusa.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Uma medusa que foi capturada.\r\nPode ser vendida por um bom preço\r\ne seu sabor é indescritível.|----|Una medusa capturada.\r\nPuedes venderla a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Stheno.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um esteno que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un esteno capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Euryale.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um euríale que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Una euríale capturada.\r\nPuedes venderla a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Imp.\r\nIt can be sold at a high price\r\nand is best used for mille-feuille.|----|Um diabrete que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com mil-folhas.|----|Un diablillo capturado.\r\nPuedes venderlo a muy buen precio\r\ny va de maravilla con las milhojas.

A captured Quien.\r\nIt can be sold at a high price\r\nand is best used for tarts.|----|Um quien que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com tortas.|----|Un quizenas capturado.\r\nPuedes venderlo a muy buen precio\r\ny va de maravilla con las natillas.
